Survey ID,Survey status,Invitation date,Responsedate,Last page seen,Survey Distribution Version,Survey Experience Score,Reason for Survey Experience,Comment
517910,COMPLETED,44102.82292,44117.26558,Page 10,A,4,Other (Please specify),"length of survey, would also like to mention that our manager genuinely cares for us and our client and is very knowledgable and hardworking just needs to trust us a bit more."
513476,COMPLETED,44102.79167,44117.22014,Page 7,B,4,Other (Please specify),Ability to put down my thoughts versus simply multiple choice questions.
523148,COMPLETED,44102.79167,44116.99042,Page 10,A,4,Other (Please specify),"Survey questions were flexible, helping to keep things more relevant and simple."
509598,COMPLETED,44102.79167,44116.95322,Page 7,B,2,Other (Please specify),The question not really focus concern on employee
512131,COMPLETED,44102.80208,44116.77505,Page 7,B,4,Other (Please specify),Needed the survey section for management
503105,COMPLETED,44102.8125,44116.55941,Page 7,B,4,Other (Please specify),"Sondage Clair, mais beaucoup de questions ouvertes qui risquent d'entraîner autant de réponses que de situations personnelles"
509332,COMPLETED,44102.8125,44116.18175,Page 7,B,4,Other (Please specify),Asking the right questions
510798,COMPLETED,44102.82292,44115.78413,Page 7,B,4,Other (Please specify),Given opportunity to speak up.
521677,COMPLETED,44102.80208,44115.57328,Page 7,B,2,Other (Please specify),Questions where I am required to type in responses are far too broad.
518281,COMPLETED,44102.8125,44115.54567,Page 10,A,3,Other (Please specify),I'm not certain that we can speak up safely
507038,COMPLETED,44102.80208,44115.29593,Page 7,B,5,Other (Please specify),the point touch our voice
515395,COMPLETED,44102.80208,44114.53507,Page 10,A,5,Other (Please specify),Ability to express my opinion without fear of reprimandation.
512498,COMPLETED,44102.80208,44115.33065,Page 7,B,3,Other (Please specify),Too many questions that require written responses.
520009,COMPLETED,44102.82292,44114.32213,Page 7,B,5,Other (Please specify),the free text fields made me think specifically about my answers and be specific about the feedback.
514107,COMPLETED,44102.8125,44114.30999,Page 7,B,2,Other (Please specify),"En effet les questions pas tres clair, surtout la première.... qui fait en sorte que tous les autres questions sont posés.   Trop vagues et large comme compréhensions de la question."
512311,COMPLETED,44102.8125,44113.98691,Page 10,A,5,Other (Please specify),It doesn’t seem like an audit but demonstrates you want to hear us so we can better our organization or order to continue to be the #1 bank in Canada !
509424,COMPLETED,44102.82292,44113.68369,Page 10,A,1,Other (Please specify),This survey is not confidential enough for written answers.
510033,COMPLETED,44102.82292,44113.55616,Page 10,A,4,Other (Please specify),"It should reflect our current COVID-19 situation better. And also ask us for feedback, and suggestions, as well as maybe adding a poll to get a deeper understanding of RBC's emplyees thoughts. To really make it a One RBC"
504713,COMPLETED,44102.80208,44113.56191,Page 7,B,5,Other (Please specify),j'ai pu donner mon opinion
517162,COMPLETED,44102.8125,44113.5434,Page 7,B,3,Other (Please specify),Questions are clear but requires to much input. I prefer to select.
503973,COMPLETED,44102.79167,44113.46965,Page 7,B,5,Other (Please specify),"Opportunity share my view on some areas, instaed of all questions being restricted to merely choice between pre-listed answers"
507265,COMPLETED,44102.8125,44113.45194,Page 10,A,3,Other (Please specify),"There should be more agree/disagree type of Qs than plain text, to get clarity on outcome"
513238,COMPLETED,44102.82292,44113.47987,Page 7,B,4,Other (Please specify),wanted to think about the answers so that they are meaningful
516675,COMPLETED,44102.82292,44113.41475,Page 7,B,4,Other (Please specify),Not a fan of having to write reasons to support answers.  A survey should have specific responses expected and have the person select.  Always include a N/A option.
507297,COMPLETED,44102.79167,44113.41826,Page 7,B,3,Other (Please specify),Too many written responses required to further clarify only one section
505276,COMPLETED,44102.8125,44113.4303,Page 7,B,3,Other (Please specify),Survey should offer opportunity to cover all choices from the first screen. Instead we can only pick one subject.
518739,COMPLETED,44102.79167,44113.38903,Page 7,B,3,Other (Please specify),"No further changes in terms of management, I dont feel inspired when none of my best skilled colleague get promoted internally"
506949,COMPLETED,44102.80208,44113.39317,Page 7,B,3,Other (Please specify),A
509941,COMPLETED,44102.8125,44113.40015,Page 10,A,3,Other (Please specify),"Asked by seniors to do ,Surveys actually dont help much , have this feeling. not sure if the vocie is heard or not ."
522274,COMPLETED,44102.8125,44113.34661,Page 10,A,3,Other (Please specify),"i want to get my word accross, hopefully someone hears it"
521555,COMPLETED,44102.79167,44113.35047,Page 7,B,5,Other (Please specify),"it made me think, and reafirm, what my and RBC's priorities should be"
517591,COMPLETED,44102.8125,44113.34726,Page 7,B,5,Other (Please specify),sondage parfait
519591,COMPLETED,44102.79167,44113.3364,Page 7,B,4,Other (Please specify),I was able to share my thoughts through this.
511605,COMPLETED,44102.82292,44113.33538,Page 10,A,5,Other (Please specify),I do want to share my opion and want RBC to hear their employee voice.
518443,COMPLETED,44102.79167,44113.36421,Page 10,A,3,Other (Please specify),Was weird to choose what to answer
509445,COMPLETED,44102.8125,44113.36377,Page 10,A,4,Other (Please specify),It is an opportunity to share my opinions concerning my career at RBC.
504312,COMPLETED,44102.80208,44113.35914,Page 10,A,5,Other (Please specify),Gives us an oppurtunity to express ourselves.
522419,COMPLETED,44102.79167,44113.32463,Page 7,B,4,Other (Please specify),It was a bit too focused. But it was short and I got to tell what i needed to say
515343,COMPLETED,44102.82292,44113.31816,Page 10,A,3,Other (Please specify),simply that having a good experience seems an odd way to describe completing a survey - do you mean insofar as completing a survey goes?
512129,COMPLETED,44102.8125,44113.31791,Page 10,A,3,Other (Please specify),"Le sondage est bien fait, court et simple. A toutes les semaines je réponds à ce genre de questions avec mon gestionnaire. Elle se préocuppe beaucoup du bien être de nous tous. Elle s'est que nous sommes épuisés avec tout ce qui arrive avec la 2e vague de la pandémie etc, mais elle s'informe TOUJOURS de comment on va mentalememt, physiquement. Je suis très à l'aise de communiquer avec elle. En gros je suis fière d'appartenir à la famille RBC."
503593,COMPLETED,44102.8125,44113.31902,Page 10,A,3,Other (Please specify),Express my opinion anonymously
508230,COMPLETED,44102.82292,44113.30339,Page 7,B,4,Other (Please specify),Free form questions - and being precise with feedback.
504711,COMPLETED,44102.8125,44113.30683,Page 7,B,3,Other (Please specify),*
520422,COMPLETED,44102.82292,44113.29833,Page 7,B,3,Other (Please specify),Not sure what to say
516235,COMPLETED,44102.8125,44113.30024,Page 7,B,5,Other (Please specify),sense of being heard
511248,COMPLETED,44102.8125,44113.29264,Page 10,A,5,Other (Please specify),at least the employeris concerned aout the employees. Thanks
522728,COMPLETED,44102.83333,44113.28763,Page 7,B,3,Other (Please specify),still feel very uncomfortable with answers and privacy
521906,COMPLETED,44102.82292,44113.2884,Page 7,B,5,Other (Please specify),Being able to exspress my opinion in comment and not having yes/no questions!!!
516347,COMPLETED,44102.82292,44113.27082,Page 7,B,3,Other (Please specify),.
507133,COMPLETED,44102.79167,44113.27606,Page 10,A,4,Other (Please specify),Toute ses reponses
513848,COMPLETED,44102.79167,44113.27609,Page 7,B,2,Other (Please specify),Way too many comment sections asking for clarification.
509919,COMPLETED,44102.80208,44113.26738,Page 10,A,5,Other (Please specify),.
509616,COMPLETED,44102.79167,44113.26457,Page 7,B,3,Other (Please specify),There were too many long answer questions.
508512,COMPLETED,44102.8125,44113.26554,Page 10,A,5,Other (Please specify),"les cases commentaires ,"
507411,COMPLETED,44102.80208,44113.26088,Page 7,B,5,Other (Please specify),The primary reason for my answer is points 1 - 3.
513073,COMPLETED,44102.82292,44113.24959,Page 10,A,5,Other (Please specify),"Simplicité du sondage, Clarté des questions mais aussi possibilités de personnaliser notre feedback."
520385,COMPLETED,44102.80208,44113.2473,Page 10,A,4,Other (Please specify),Just being asked.
519738,COMPLETED,44102.80208,44113.24347,Page 7,B,2,Other (Please specify),How do the questions contribute to improving RBC?
513873,COMPLETED,44102.80208,44113.24396,Page 7,B,3,Other (Please specify),The experience of filling out the survey did not move me.  I believe employee surveys play an important role in obtaining infomration from staff and help engage staff.  That said for me personally the experience is neither negativenor positive.
513691,COMPLETED,44102.8125,44113.24185,Page 10,A,4,Other (Please specify),i can provide specific answer in my own word on specific questions
513249,COMPLETED,44102.82292,44113.24845,Page 10,A,5,Other (Please specify),I liked how it anticipated where to prompt me for comments and the length was short.
506461,COMPLETED,44102.8125,44113.24686,Page 7,B,2,Other (Please specify),You geared it toward answers you wanted it to be
519462,COMPLETED,44102.80208,44113.23789,Page 7,B,5,Other (Please specify),All of the above
505843,COMPLETED,44102.8125,44113.22887,Page 10,A,2,Other (Please specify),too short.. we're losing an opportunity to get insights about the level of engagement within our teams as well as where we could specifically focus on for enablement within our teams by not asking and getting responses from more questions
506662,COMPLETED,44102.79167,44113.22716,Page 10,A,3,Other (Please specify),nothing seems to come out of the survey - i dont see any changes
522113,COMPLETED,44102.82292,44113.20355,Page 7,B,2,Other (Please specify),A survey question on the survey?  Really?  Is this really a good use of the resource?
511611,COMPLETED,44102.82292,44113.20876,Page 10,A,4,Other (Please specify),Perhaps the free form questions could have have been more specific. I struggled a bit with what to write.
510894,COMPLETED,44102.82292,44113.19198,Page 7,B,3,Other (Please specify),"""A good experience filling out a survey""?  What world does one inhabit where one has a ""good experience"" filling out any survey?"
521892,COMPLETED,44102.80208,44113.06272,Page 10,A,5,Other (Please specify),Survey was directed towards employee satisfaction which is a key factor in an organizations development.
506712,COMPLETED,44102.8125,44113.05314,Page 7,B,5,Other (Please specify),Fewer questions - more comments.
506265,COMPLETED,44102.8125,44113.00509,Page 10,A,3,Other (Please specify),"The last part where we are asked to select a topic ""to tell more about our experience at RBC"" is not clear from the outset.  Also not sure I understand why I was asked to provide more details on my response ""Agree"" to the question ""I am valued at RBC"""
503493,COMPLETED,44102.8125,44113.00558,Page 10,A,3,Other (Please specify),"Basic questions, no reason to strongly agree or disagree"
521514,COMPLETED,44102.8125,44112.99583,Page 7,B,5,Other (Please specify),la possibilité de s'exprimer par texte est un réel plus
506970,COMPLETED,44102.79167,44112.94667,Page 7,B,4,Other (Please specify),"Open field dialogs to explain some thoughts versus just checking a box.  Interpreting the data may be challenging, but allowing a more open dialog about things that impact employees is great!"
507536,COMPLETED,44102.8125,44112.9185,Page 7,B,5,Other (Please specify),the qualitative input brings meaning to the survey
504038,COMPLETED,44102.82292,44112.83767,Page 7,B,2,Other (Please specify),custom answers
507443,COMPLETED,44102.82292,44112.87366,Page 7,B,5,Other (Please specify),All of the above
505640,COMPLETED,44102.80208,44112.83037,Page 7,B,3,Other (Please specify),Unsure about quantity of freeform text fields.
521344,COMPLETED,44102.79167,44112.54712,Page 10,A,3,Other (Please specify),"La question que l'on peut choisir de quoi on veut parler, n'est vraiment pas clair sur le genre de feed-back que vous désirez avoir. C'est très large et difficile de répondre sur mon travail précisément."
505899,COMPLETED,44102.8125,44112.59294,Page 7,B,5,Other (Please specify),toutes ces réponses
509408,COMPLETED,44102.8125,44112.4523,Page 10,A,5,Other (Please specify),All of the above
505277,COMPLETED,44102.79167,44112.52023,Page 10,A,4,Other (Please specify),receive reminder email from my manager
510638,COMPLETED,44102.8125,44112.51517,Page 7,B,3,Other (Please specify),"Impression que ca va rien changer. Si les employés n'étaient pas là, il n'y aurait pas de RBC!"
514249,COMPLETED,44102.82292,44112.50875,Page 7,B,3,Other (Please specify),easier without free form answers.
513923,COMPLETED,44102.8125,44112.43939,Page 10,A,5,Other (Please specify),Questions ouvertes
504691,COMPLETED,44102.8125,44112.43984,Page 10,A,2,Other (Please specify),Too many user input questions
506926,COMPLETED,44102.82292,44112.48881,Page 10,A,5,Other (Please specify),To be able to share my thoughts and my contentment with RBC.
521919,COMPLETED,44102.79167,44112.47213,Page 10,A,4,Other (Please specify),Open ended questions
509374,COMPLETED,44102.8125,44112.4253,Page 10,A,5,Other (Please specify),"j'aurais aimé pouvoir sélectionner plus d'une réponse car le fait que ce sondage soi cour, simple, et question clair mon énormément plus..merci"
507080,COMPLETED,44102.82292,44112.39964,Page 7,B,5,Other (Please specify),I feel in touch and my opinion counts. I wanted RBC to know they are doing a great job informing us general staff of any updates. It hepls put my mind at ease at this time
511162,COMPLETED,44102.8125,44112.43741,Page 7,B,3,Other (Please specify),not too many options
512241,COMPLETED,44102.80208,44112.33075,Page 7,B,4,Other (Please specify),Ability to have my voice heard.
519588,COMPLETED,44102.79167,44112.28236,Page 10,A,1,Other (Please specify),"Systematic Racism, White Supremacy and Nepotism."
514113,COMPLETED,44102.8125,44112.29014,Page 7,B,3,Other (Please specify),trop de question long développement
511499,COMPLETED,44102.8125,44112.26265,Page 7,B,2,Other (Please specify),Too many questions to fill out.  Rather keep it at multiple choice
506763,COMPLETED,44102.8125,44112.25918,Page 7,B,2,Other (Please specify),Too many open questions. Previous format of the survey was better.
513539,COMPLETED,44102.82292,44112.29965,Page 7,B,5,Other (Please specify),Les questions ouvertes permettent de réfléchir!
515183,COMPLETED,44102.8125,44112.15606,Page 10,A,5,Other (Please specify),"All of the above mentioned points, plus the extended opportunities to share individual comments and feedback. Great initiative, many thanks!"
521675,COMPLETED,44102.82292,44111.72193,Page 7,B,2,Other (Please specify),"This is first time ever I had to submit negative feedback, and that is because of the poor systems we have to use while working from home."
508949,COMPLETED,44102.82292,44111.63309,Page 7,B,3,Other (Please specify),"While the convenince of a short survey is appreicated, it wold have been good (given the delay in this year's survey) to comment more on other areas rather than just having to pick one."
514681,COMPLETED,44102.8125,44111.6123,Page 7,B,2,Other (Please specify),They survey only allowed me to comment on one of the topics presented at the start of the survey.  I wasn't given the option to comment on a few of the areas.
511118,COMPLETED,44102.82292,44111.58587,Page 7,B,4,Other (Please specify),Not sure presently how much change that will bring about
506826,COMPLETED,44102.82292,44111.58308,Page 7,B,3,Other (Please specify),"Same questions each year, no true change thereafter implemented."
516322,COMPLETED,44102.8125,44111.57757,Page 7,B,5,Other (Please specify),To help RBC understand what I believe about the the company and my career at the bank.
512326,COMPLETED,44102.8125,44111.57631,Page 7,B,4,Other (Please specify),The survey was easy to complete and allowed for further explanation and individual responses
511073,COMPLETED,44102.80208,44111.54586,Page 7,B,1,Other (Please specify),more free form than I have time for
517222,COMPLETED,44102.80208,44111.54628,Page 10,A,2,Other (Please specify),i dont think the survey results will get the correct picture as you answer a question and then are prompted to reply based on that one question and you dont have the freedom to expand on other issues you may be having as an employee.
521262,COMPLETED,44102.79167,44111.53284,Page 10,A,3,Other (Please specify),Utilité
512830,COMPLETED,44102.79167,44111.5119,Page 7,B,3,Other (Please specify),"experience is neither good or bad, just an opertunity to give comment to what we have experienced, working through this rough time. regardless i thank you for the opertunity to say somthing, and thankyou for listenning."
509301,COMPLETED,44102.8125,44111.54448,Page 7,B,2,Other (Please specify),j'aime pas à avoir faire des commentaires suite à mes réponses aux questions
511875,COMPLETED,44102.82292,44111.47303,Page 10,A,5,Other (Please specify),"Claity of questions + Length of survey + Ease of completing it. This is so much better then the other Employee Opinion Survey as it is more to the point, the questions are clear and the survey is short!"
514156,COMPLETED,44102.80208,44111.4937,Page 10,A,5,Other (Please specify),sondage simple et court.
505113,COMPLETED,44102.79167,44111.49351,Page 10,A,5,Other (Please specify),Keeping an open comment box or asking a question which provided chance to share thoughts.
517240,COMPLETED,44102.8125,44111.44984,Page 7,B,5,Other (Please specify),possibliter de s'exprimez plus et les questions plus courtes
504740,COMPLETED,44102.8125,44111.43743,Page 7,B,5,Other (Please specify),le fait qu'on puisse s'exprimer et laisser des commentaires!
511613,COMPLETED,44102.82292,44111.41632,Page 10,A,4,Other (Please specify),Quick and easy
517597,COMPLETED,44102.79167,44111.38271,Page 10,A,5,Other (Please specify),Clarity of questions and the ability to explain more and add more content
518865,COMPLETED,44102.8125,44111.3631,Page 10,A,2,Other (Please specify),I have never thought of doing a survey to give me either good or bad experience
506148,COMPLETED,44102.79167,44111.39193,Page 10,A,5,Other (Please specify),les point a trater son claire
503471,COMPLETED,44102.79167,44111.35427,Page 10,A,3,Other (Please specify),A bit more emphasis on questions about our actual managers and less about RBC's management as a whole.
517498,COMPLETED,44102.82292,44111.36826,Page 7,B,5,Other (Please specify),all of the above
518690,COMPLETED,44102.80208,44111.33534,Page 10,A,5,Other (Please specify),Complete surveys are small steps towards change.
510992,COMPLETED,44102.79167,44111.32913,Page 7,B,3,Other (Please specify),"Les questions sont tres larges, devrait etre plus precis que ca"
508285,COMPLETED,44102.80208,44111.34552,Page 7,B,4,Other (Please specify),Space to share our feedback
513517,COMPLETED,44102.8125,44111.3242,Page 7,B,3,Other (Please specify),the beginning question can lead to a lot of brownnosing
517615,COMPLETED,44102.8125,44111.28671,Page 7,B,5,Other (Please specify),To voice my opinio over what direction hiring and growth should take.
515678,COMPLETED,44102.80208,44111.28648,Page 10,A,2,Other (Please specify),Survey does not capture Covid related situations and how employees need support with flexible work arrangements
513020,COMPLETED,44102.82292,44111.29633,Page 7,B,3,Other (Please specify),Only lip service... a chosen few are always rewarded
504778,COMPLETED,44102.80208,44111.29722,Page 10,A,5,Other (Please specify),"je n aime pas elabore prefere un choix de reponse, ajouter une question a la fin afin de s exprimer"
503233,COMPLETED,44102.8125,44111.29501,Page 10,A,5,Other (Please specify),Possibilité d'écrire des commentaires
511866,COMPLETED,44102.82292,44111.27515,Page 10,A,5,Other (Please specify),"Plus simple, plus clair et beaucoup moins long. Permet également de développer d'avantage."
505883,COMPLETED,44102.82292,44111.25064,Page 7,B,4,Other (Please specify),my personal feedback
518047,COMPLETED,44102.8125,44111.26339,Page 7,B,3,Other (Please specify),Did not really like the way the survey started.   Would have prefered it to be a  questions asked instead of having to choose which topic to talk about.
514153,COMPLETED,44102.80208,44111.26682,Page 10,A,4,Other (Please specify),all of the above
518087,COMPLETED,44102.8125,44111.21928,Page 7,B,3,Other (Please specify),The areas/topic at the onset looks very generic and broad that scares off.
515011,COMPLETED,44102.8125,44111.21856,Page 10,A,5,Other (Please specify),"Questions were quick, and rather than lengthy opaque and general questions, free text maybe the best way to truly get a feel for how the staff feel. In 9 years at the Bank, I have always written 2000 characters of feedback, however, I have never received any follow up or call about my thoughts, which makes us question why bother with adding your thoughts. Hopefully this changes"
520963,COMPLETED,44102.79167,44111.09811,Page 7,B,4,Other (Please specify),Free text fields take time to complete and results are difficult to summarise for leadership
517566,COMPLETED,44102.82292,44110.87674,Page 10,A,2,Other (Please specify),Questions seemed to ignore the real issues and are digging for answers unrelated to concerns.
521449,COMPLETED,44102.79167,44110.85116,Page 7,B,2,Other (Please specify),The format feels very exposing and I am not comfortable to provide comments
519052,COMPLETED,44102.80208,44110.7869,Page 7,B,4,Other (Please specify),Joy of filling out a survey
519004,COMPLETED,44102.8125,44110.61556,Page 7,B,3,Other (Please specify),I wasn't expecting to write out responses and found it challenging given my responses were going to be shared verbatim
514752,COMPLETED,44102.82292,44110.6224,Page 7,B,4,Other (Please specify),possibilié de mieux s'exprimer vs simplement répondre à des niveaux de satisfaction
516534,COMPLETED,44102.79167,44110.61449,Page 7,B,2,Other (Please specify),Too many required comments
521949,COMPLETED,44102.79167,44110.66855,Page 7,B,3,Other (Please specify),i enjoyed the old style of the EOS better
521540,COMPLETED,44102.82292,44110.67132,Page 7,B,3,Other (Please specify),no Action is taken and if there is it takes many years to come to fuition
507651,COMPLETED,44102.79167,44110.76854,Page 10,A,3,Other (Please specify),Prefer to answer questions in person rather than a survey
513206,COMPLETED,44102.82292,44110.5635,Page 10,A,3,Other (Please specify),There are more nuances to the questions that may not be capture true responses by gradation
507419,COMPLETED,44102.82292,44110.51852,Page 10,A,2,Other (Please specify),Different format than used to....feels 'put on the spot' a bit.  (Still grateful to have an employer willing to ask though)
521053,COMPLETED,44102.82292,44110.46108,Page 10,A,2,Other (Please specify),Prefer the rating questions vs questions that require a lot of comments.
517165,COMPLETED,44102.79167,44110.45975,Page 10,A,4,Other (Please specify),"in previous surveys, there was no section that required written responses or further information. This should be purely optional and may deter staff from completing the survey when they approach these sections."
520904,COMPLETED,44102.79167,44110.44076,Page 7,B,4,Other (Please specify),"Questions were though provoking, and not simply 150 questions that gets monotonous. Furthermore, I appreaciate the length, as we have other more pressing client-related tasks to balance."
515882,COMPLETED,44102.8125,44110.45086,Page 7,B,2,Other (Please specify),I don't find text boxes helpful or easy to complete in meaningful way (I get the irony of me answering this question with a text box answer....but it wasnt one of the options!) :)
511114,COMPLETED,44102.8125,44110.37763,Page 7,B,4,Other (Please specify),An occasion to help to do better in the future
520935,COMPLETED,44102.79167,44110.36655,Page 7,B,1,Other (Please specify),il manque des questions sur les conditions de travails...
509089,COMPLETED,44102.82292,44110.36313,Page 7,B,2,Other (Please specify),too vague
517106,COMPLETED,44102.82292,44110.34035,Page 10,A,4,Other (Please specify),Able to express myself.
503277,COMPLETED,44102.8125,44110.35118,Page 10,A,5,Other (Please specify),"Length of survey, types of questions are more relevant and pertinent and better address areas of concern"
521233,COMPLETED,44102.82292,44110.32883,Page 10,A,5,Other (Please specify),"La longueur, simplicité ET les petites qestions a ''développement''"
505042,COMPLETED,44102.82292,44110.32418,Page 10,A,3,Other (Please specify),"The shorter format is nice, but still feels like a lot of the same questions."
520423,COMPLETED,44102.80208,44110.30491,Page 10,A,3,Other (Please specify),Sondage trop large et clarté des questions difficile a comprendre
515668,COMPLETED,44102.82292,44110.29609,Page 7,B,3,Other (Please specify),J'aurais aimé des question précises du debut - Car j'ai tout simplement parlé de ce qui me tenait a coeur personnellement
515479,COMPLETED,44102.8125,44110.28963,Page 7,B,2,Other (Please specify),"Don't like the essay questions interspersed in the middle of it, at the opening of it."
522492,COMPLETED,44102.82292,44110.2851,Page 10,A,5,Other (Please specify),it gave me a place to speak the truth without being judged or reprimanded
504257,COMPLETED,44102.82292,44110.26422,Page 7,B,4,Other (Please specify),I appreciated that I can write comments and truly express my own thoughts.  I could feedback what I wanted to versus what the survey dictated.  I've wanted this format for years.  Thank you.
507872,COMPLETED,44102.82292,44110.27332,Page 7,B,3,Other (Please specify),Focus on open ended questions is uncomfortable
510948,COMPLETED,44102.8125,44110.23697,Page 7,B,4,Other (Please specify),I felt it was more personalized
508920,COMPLETED,44102.8125,44110.23635,Page 7,B,3,Other (Please specify),In the hope that the responses will resonate and lead to meaningful changes (though my expectations are low).
515817,COMPLETED,44102.79167,44110.20435,Page 7,B,5,Other (Please specify),more of my opinion rather multiple choice....much better way of reflecting.
513841,COMPLETED,44102.8125,44110.15648,Page 10,A,3,Other (Please specify),"The questions of this survey are rather common, nothing special"
522923,COMPLETED,44102.82292,44110.13815,Page 10,A,4,Other (Please specify),able to express my thoughts
511343,COMPLETED,44102.82292,44109.82405,Page 7,B,3,Other (Please specify),"All of the questions asked about how I feel about RBC as an organization and what I appreciate about the changes made. While I appreciate the swiftness of new tools to help make business still possible, there is a strong sense of overwhelm as the pressure to meet work expectations have not been revisited to account for the time and effort to adjust to change."
518969,COMPLETED,44102.79167,44109.78429,Page 7,B,4,Other (Please specify),there are free spaces for writing subjective observations.
505311,COMPLETED,44102.80208,44109.68035,Page 10,A,3,Other (Please specify),It felt too short and left a lot on the table. It lacked queries relating WFH or RTP feedback. It lacked focus on the objectives for each business unit. It lacked candid feedback for people managers. It lacked a link to RBC's strategy. What is management really trying to achieve here?
507127,COMPLETED,44102.80208,44109.7414,Page 10,A,4,Other (Please specify),able to provide feedback  that hopefully will bring some type of change for better work environment
513771,COMPLETED,44102.8125,44109.65308,Page 7,B,4,Other (Please specify),The one thing this survey is missing is ability to provide views on compensation / personal advnacement.
503216,COMPLETED,44102.8125,44109.65465,Page 7,B,5,Other (Please specify),the fact that we were able to write what we wanted in order to be clear was great
517533,COMPLETED,44102.82292,44109.64525,Page 10,A,5,Other (Please specify),to give my honest opinion with rbc. as i am proud to work with rbc
517513,COMPLETED,44102.80208,44109.60598,Page 7,B,5,Other (Please specify),ability to capture variety of responses.
512535,COMPLETED,44102.79167,44109.60529,Page 7,B,2,Other (Please specify),le sens des questions semble trop large pas assez touché ou ciblé sur ce que on ressent pour ce que on fait
511982,COMPLETED,44102.8125,44109.60475,Page 7,B,5,Other (Please specify),"There was a lot more space to write clear and careful responses versus just picking a number, which can lack nuance."
514056,COMPLETED,44102.82292,44109.66955,Page 7,B,4,Other (Please specify),I odn't like surveys.
505251,COMPLETED,44102.79167,44109.58843,Page 10,A,3,Other (Please specify),open ended questions are not always easy to answer; questions not always interpreted as intended
512564,COMPLETED,44102.79167,44109.58374,Page 7,B,3,Other (Please specify),does not seem very in depth to get enough information about how employees feel
518941,COMPLETED,44102.79167,44109.61817,Page 7,B,5,Other (Please specify),chance to speack up what's on mind
518323,COMPLETED,44102.8125,44109.55874,Page 10,A,3,Other (Please specify),Was not anticipating the probing questions that followed certain responses from the scale. This was good but does require a little more time to complete.
522606,COMPLETED,44102.80208,44109.52719,Page 7,B,5,Other (Please specify),Allowed me to share what was important to me rather than each section of the survey showing the options I could choose from.  This was a good combination of free form and choosing the most appropriate answer.
515941,COMPLETED,44102.79167,44109.50028,Page 7,B,4,Other (Please specify),"The website locked the first day I tried to complete the survey.  But today when I clicked on my Start Survey link thinking I would have to start from the beginning, I was able to start where I left off."
503051,COMPLETED,44102.79167,44109.49503,Page 7,B,3,Other (Please specify),It wasn't clear I could only discuss one topic... I wanted to touch on a few categories with the text box comments...
511754,COMPLETED,44102.79167,44109.51889,Page 7,B,4,Other (Please specify),Ability to specify ( include my own thoughs)
514563,COMPLETED,44102.8125,44109.48362,Page 10,A,4,Other (Please specify),I do not like to write things in a survey for security and complete transparancy.
506730,COMPLETED,44102.8125,44109.49012,Page 7,B,3,Other (Please specify),Too many requested written responses
